user,count
disclosedh1,3209
bugbounty18,1933
Bugcrowd,1580
AntihackMe,1238
caseyjohnellis,905
evanricafort,668
Jhaddix,656
vulnlab,637
bountyfactoryio,612
Hacker0x01,605
akitazen,596
yeswehack,589
JPHammer71,587
xsses,572
samhouston,561
ismailtsdln,498
KHIZERJAVED47,475
internetwache,461
micheymosh,454
jobertabma,433
zseano,409
martenmickos,399
shipcod3,397
gopalsinghcse,382
yaworsk,377
crowdshield,375
BugBountyHQ,372
bl4de,371
EdisKonstantini,362
NahamSec,358
WebSecResearch,356
payloadartist,349
testalways,348
thedawgyg,339
0xCaptainFreak,332
michielprins,328
leoniemela,321
sasi2103,319
HivarekarPranav,316
GertyBoy27,313
BugBountyWeekly,308
0ctac0der,302
streaak,296
ArbazKiraak,292
BugcrowdOps,287
restr1ct3d,284
sectest9,279
anshumanbh,278
TheBugBot,278